id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts38805,Beat Bugs,SHOW,"Jay, Kumi, Crick, Buzz, and Walter are best friends who band together to explore and learn in an overgrown suburban backyard, which to them is their entire universe. Each episode of this animated series features songs by The Beatles performed by artists including Daniel Johns, Robbie Williams and Pink to tell uplifting and life-affirming stories filled with hope and melody.",2016,TV-Y,15,"['animation', 'family', 'fantasy', 'comedy']",['AU'],3.0,tt4716268,7.6,522.0,6.351,6.6
ts52988,Captive,SHOW,"Documentary series reconstructing history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals.",2016,,63,"['documentation', 'drama', 'european']",['US'],1.0,tt6246500,6.8,724.0,3.779,6.8
ts38761,Another Miss Oh,SHOW,Two women working in the same industry with the exact same name keep getting their lives entangled both professionally and personally.,2016,TV-MA,69,"['drama', 'fantasy', 'romance', 'comedy']",['KR'],1.0,tt5679572,7.9,1769.0,22.672,8.2
ts56748,T@gged,SHOW,t@gged is a modern day thriller that explores the terrifying risks of social media in a world of anonymity.,2016,TV-14,22,"['drama', 'thriller', 'reality']",['US'],3.0,tt5881326,7.3,2012.0,12.18,8.0
ts43230,The Deep,SHOW,"The adventures of the Nekton family, a family of daring underwater explorers who live aboard a state-of-the-art submarine, The Aronnax, and explore uncharted areas of the earth's oceans to unravel the mysteries of the deep.",2015,TV-Y7,22,"['action', 'animation', 'family', 'scifi']",['AU'],3.0,tt4991910,8.1,645.0,11.108,8.4
ts56032,La Niña,SHOW,"A young woman who was part of the guerrilla force now seeks a better life in the city. She wants to study medicine, to heal instead of hurt, but she'll have a challenge since being part of outside-the-law groups always leaves consequences.",2016,TV-MA,45,"['action', 'drama']",['CO'],1.0,tt5677942,8.3,642.0,21.243,7.7
ts55559,Ask the Storybots,SHOW,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions, like how night happens or why we need to brush our teeth.",2016,TV-Y,26,"['animation', 'comedy', 'family']",['US'],3.0,tt5846856,8.4,870.0,13.727,8.2
ts75324,La esclava blanca,SHOW,"In Colombia in 1821, a Spanish plantation gets burned down, and only the planters' baby is spared. She gets sent to Spain, but concocts a plan to return home and become an abolitionist.",2016,TV-MA,41,['history'],['CO'],1.0,tt5458128,8.1,575.0,25.176,7.4
ts54100,World of Winx,SHOW,The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them.,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']","['US', 'IT']",2.0,tt5874596,6.6,715.0,4.724,8.1
ts31593,Pororo the Little Penguin,SHOW,"Pororo the Little Penguin is a computer-generated animated cartoon series created by Iconix Entertainment, SK Broadband, Ocon and EBS with the North Korean company Samchŏlli in Kaesŏng. Production began in 2002 and the program began airing in South Korea on EBS in 2003.

Internationally, the program currently airs on Australian, French, Taiwanese, Indian, Italian, Puerto Rican, Japanese, Chinese, Singaporean and Vietnamese channels. It also started airing in Norway, on Boomerang, and Cartoonito in the UK. It will air on Disney Channel Asia and CITV in 2013.

In South Korea, Pororo has become famous among preschool kids and children and has earned the nickname ""Pororo the President"" while to some teenagers, ""Pororo the God"".

The series revolves around the adventures of Pororo and his friends who live in the snowy village of Porong Porong Forest, who often encounter challenges and learn practical and moral lessons in each episode.",2016,,8,"['scifi', 'family', 'animation']",['KR'],6.0,tt13527330,6.3,88.0,5.458,5.0
